Country,Continent,Year,CO2 emission (Tons),Area (km2),% of World,Density(km2),Per capita electricity (kWh),Population (in Thousands),GDP (USD Millions),Import % of GDP,Export (USD 2024 Valuation),GDP_missing,EC_missing,Import_missing,Export_missing
Afghanistan,Asia,2005,76907696,652230,0.004,63/km²,36.407,24411191,6203256497,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2006,78543074,652230,0.004,63/km²,31.665,25442944,6971758333,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2007,80811679,652230,0.004,63/km²,34.907,25903301,9747886105,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2008,85011209,652230,0.004,63/km²,26.261,26427199,10109296958,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2009,91751185,652230,0.004,63/km²,33.038,27385307,12416152648,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2010,100148964,652230,0.004,63/km²,32.081,28189672,15856668496,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2011,112254752,652230,0.004,63/km²,28.133,29249157,17805098367,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2012,122473266,652230,0.004,63/km²,29.267,30466479,19907329906,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2013,130914032,652230,0.004,63/km²,34.181,31541209,20146416876,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2014,138688372,652230,0.004,63/km²,34.581,32716210,20497128600,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2015,146592505,652230,0.004,63/km²,34.231,33753499,19134221745,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2016,153337133,652230,0.004,63/km²,34.197,34636207,18116572399,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2017,160196958,652230,0.004,63/km²,34.604,35643418,18753456507,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2018,168541787,652230,0.004,63/km²,29.996,36686784,18053222735,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2019,180688461,652230,0.004,63/km²,27.128,37769499,18799444415,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2020,192848747,652230,0.004,63/km²,2234.371,38972230,19955929061,36.28907741,2079570876,0,1,0,0
Albania,Europe,1990,172416848,28748,0,99/km²,1004.239,3286542,2028553750,24.03189957,312500000,0,0,0,0
Albania,Europe,1991,176645104,28748,0,99/km²,1164.493,3266790,1099559028,28.58570134,82300000,0,0,0,0
Albania,Europe,1992,179140288,28748,0,99/km²,1047.479,3247039,652174990.8,96.28588075,81519209.68,0,0,0,0
Albania,Europe,1993,181455936,28748,0,99/km²,1104.784,3227287,1185315468,64.53950296,189399541.5,0,0,0,0
Albania,Europe,1994,183368544,28748,0,99/km²,1252.178,3207536,1880950864,41.11889039,225407402.4,0,0,0,0
Albania,Europe,1995,185435040,28748,0,99/km²,1435.949,3187784,2392764853,34.96976538,302465325.4,0,0,0,0
Albania,Europe,1996,187428256,28748,0,99/km²,1933.069,3168033,3199640815,33.27511148,371808925.1,0,0,0,0
Albania,Europe,1997,188959808,28748,0,99/km²,1687.234,3148281,2258513974,35.22842897,230303544.6,0,0,0,0
Albania,Europe,1998,190703872,28748,0,99/km²,1642.718,3128530,2545964541,36.67036856,291949986.8,0,0,0,0
Albania,Europe,1999,193679040,28748,0,99/km²,1735.677,3108778,3212121651,34.16926739,540977914.6,0,0,0,0
Albania,Europe,2000,196683520,28748,0,99/km²,1524.329,3089027,3480355258,43.33878759,700083398.1,0,0,0,0
Albania,Europe,2001,199904176,28748,0,99/km²,1191.807,3060173,3922100794,45.1576132,836717875.5,0,0,0,0
Albania,Europe,2002,203652448,28748,0,99/km²,1196.347,3051010,4348068242,47.57945205,910729685,0,0,0,0
Albania,Europe,2003,207884368,28748,0,99/km²,1603.583,3039616,5611496257,46.17317459,1169850311,0,0,0,0
Albania,Europe,2004,211988048,28748,0,99/km²,1806.826,3026939,7184685782,44.82962655,1596261929,0,0,0,0
Albania,Europe,2005,216186992,28748,0,99/km²,1762.337,3011487,8052077248,47.85935563,1853023824,0,0,0,0
Albania,Europe,2006,220030528,28748,0,99/km²,1802.142,2992547,8896075005,49.05748251,2242665612,0,0,0,0
Albania,Europe,2007,223859408,28748,0,99/km²,942.652,2970017,10677324853,54.95421469,3016116355,0,0,0,0
Albania,Europe,2008,228131632,28748,0,99/km²,1265.535,2947314,12881352894,52.14933338,3259293768,0,0,0,0
Albania,Europe,2009,232385536,28748,0,99/km²,1749.049,2927519,12044205550,49.85416579,3040047645,0,0,0,0
Albania,Europe,2010,236833632,28748,0,99/km²,2567.817,2913021,11926926616,48.563955,3337086709,0,0,0,0
Albania,Europe,2011,241864304,28748,0,99/km²,1430.717,2905195,12890760315,51.97703179,3769456465,0,0,0,0
Albania,Europe,2012,246532240,28748,0,99/km²,1619.716,2900401,12319834195,47.57271286,3565050512,0,0,0,0
Albania,Europe,2013,251460320,28748,0,99/km²,2396.869,2895092,12776224497,46.95739871,3694413338,0,0,0,0
Albania,Europe,2014,257080896,28748,0,99/km²,1629.661,2889104,13228147516,47.19484414,3732057452,0,0,0,0
Albania,Europe,2015,261576624,28748,0,99/km²,2037.693,2880703,11386853113,44.53361519,3104897778,0,0,0,0
Albania,Europe,2016,266068688,28748,0,99/km²,2695.374,2876101,11861199831,45.83196365,3437126528,0,0,0,0
Albania,Europe,2017,271370496,28748,0,99/km²,1567.176,2873457,13019726212,46.62445122,4110301306,0,0,0,0
Albania,Europe,2018,276104384,28748,0,99/km²,2965.933,2866376,15156424015,45.23622971,4785179281,0,0,0,0
Albania,Europe,2019,280967834,28748,0,99/km²,1804.983,2854191,15401826127,44.97492476,4821429218,0,0,0,0
Albania,Europe,2020,285502507,28748,0,99/km²,2234.371,2837849,15162734205,37.17193982,3435540416,0,1,0,0
Algeria,Africa,1990,1227318081,2381741,0.016,19/km²,625.183,25518074,62048507531,24.9370286,14546456704,0,0,0,0
Algeria,Africa,1991,1306124915,2381741,0.016,19/km²,656.996,26133905,45715676428,23.59976454,13311409366,0,0,0,0
Algeria,Africa,1992,1386008220,2381741,0.016,19/km²,676.549,26748303,48003133347,23.86948996,12154198605,0,0,0,0
Algeria,Africa,1993,1467952190,2381741,0.016,19/km²,702.502,27354327,49945584453,23.13893637,10880084682,0,0,0,0
Algeria,Africa,1994,1554099666,2381741,0.016,19/km²,704.727,27937006,42543176829,26.05371254,9585286282,0,0,0,0
Algeria,Africa,1995,1649081083,2381741,0.016,19/km²,685.553,28478022,41764291672,28.99622923,10940062643,0,0,0,0
Algeria,Africa,1996,1745867360,2381741,0.016,19/km²,705.724,28984634,46941554225,23.94469955,13970016988,0,0,0,0
Algeria,Africa,1997,1832872066,2381741,0.016,19/km²,722.759,29476031,48177612042,21.33760013,14889922793,0,0,0,0
Algeria,Africa,1998,1939493076,2381741,0.016,19/km²,770.45,29924668,48187781984,22.51609655,10880008006,0,0,0,0
Algeria,Africa,1999,2031161288,2381741,0.016,19/km²,808.434,30346083,48640671735,22.77899622,13692404115,0,0,0,0
Algeria,Africa,2000,2113382298,2381741,0.016,19/km²,769.581,30774621,54790398570,20.78862591,23050166017,0,0,0,0
Algeria,Africa,2001,2197162501,2381741,0.016,19/km²,795.849,31200985,54744697926,22.01685879,20085449436,0,0,0,0
Algeria,Africa,2002,2286569434,2381741,0.016,19/km²,815.93,31624696,56760355865,25.62963474,20152501384,0,0,0,0
Algeria,Africa,2003,2377617838,2381741,0.016,19/km²,861.936,32055883,67863850334,23.87594361,25957128354,0,0,0,0
Algeria,Africa,2004,2465471197,2381741,0.016,19/km²,898.903,32510186,85332581189,25.64819794,34178449805,0,0,0,0
Algeria,Africa,2005,2571944033,2381741,0.016,19/km²,962.524,32956690,1.03198E+11,24.07340587,48714917515,0,0,0,0
Algeria,Africa,2006,2672146890,2381741,0.016,19/km²,984.617,33435080,1.17027E+11,21.91932588,57121818900,0,0,0,0
Algeria,Africa,2007,2780548836,2381741,0.016,19/km²,1023.673,33983827,1.34977E+11,24.8699642,63531235749,0,0,0,0
Algeria,Africa,2008,2889580814,2381741,0.016,19/km²,1089.409,34569592,1.71001E+11,28.71117516,82034752287,0,0,0,0
Algeria,Africa,2009,3009765663,2381741,0.016,19/km²,1024.682,35196037,1.37211E+11,35.95267869,48533798524,0,0,0,0
Algeria,Africa,2010,3127578673,2381741,0.016,19/km²,1195.151,35856344,1.61207E+11,31.42211391,61975419482,0,0,0,0
Algeria,Africa,2011,3247386211,2381741,0.016,19/km²,1314.072,36543541,2.00013E+11,28.68618309,77581318065,0,0,0,0
Algeria,Africa,2012,3375496767,2381741,0.016,19/km²,1444.06,37260563,2.09059E+11,28.51443139,77123040201,0,0,0,0
Algeria,Africa,2013,3507931779,2381741,0.016,19/km²,1476.489,38000626,2.09755E+11,30.40092579,69659422390,0,0,0,0
Algeria,Africa,2014,3650460498,2381741,0.016,19/km²,1551.775,38760168,2.1381E+11,31.9266588,65185653729,0,0,0,0
Algeria,Africa,2015,3800143440,2381741,0.016,19/km²,1628.131,39543154,1.65979E+11,36.52335059,38460337534,0,0,0,0
Algeria,Africa,2016,3949072110,2381741,0.016,19/km²,1646.183,40339329,1.60034E+11,35.05318267,33403117257,0,0,0,0
Algeria,Africa,2017,4104007682,2381741,0.016,19/km²,1727.395,41136546,1.70097E+11,32.68917073,38496745565,0,0,0,0
Algeria,Africa,2018,4265494225,2381741,0.016,19/km²,1706.364,41927007,1.74911E+11,32.20437885,45233969232,0,0,0,0
Algeria,Africa,2019,4432136175,2381741,0.016,19/km²,1726.898,42705368,1.7176E+11,29.0953259,39014337553,0,0,0,0
Algeria,Africa,2020,4587131635,2381741,0.016,19/km²,2234.371,43451666,1.45744E+11,27.86073421,25461283137,0,1,0,0
Andorra,Europe,1990,406704,468,0,171/km²,2234.371,53569,1028989692,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1991,813408,468,0,171/km²,2234.371,55434,1106891362,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1992,1220112,468,0,171/km²,2234.371,57283,1209992020,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1993,1630480,468,0,171/km²,2234.371,59156,1007090270,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1994,2037184,468,0,171/km²,2234.371,61037,1017544069,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1995,2462208,468,0,171/km²,2234.371,62928,1178745283,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1996,2916544,468,0,171/km²,2234.371,64147,1224024139,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1997,3381872,468,0,171/km²,2234.371,64682,1180645572,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1998,3872848,468,0,171/km²,2234.371,65186,1211953994,38.61732798,8681096447,0,1,1,1
Andorra,Europe,1999,4385808,468,0,171/km²,2234.371,65655,1239840640,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2000,4909760,468,0,171/km²,2234.371,66097,1429047882,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2001,5433712,468,0,171/km²,2234.371,67820,1546912332,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2002,5964992,468,0,171/km²,2234.371,70849,1755989354,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2003,6499936,468,0,171/km²,2234.371,73907,2361636235,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2004,7060528,468,0,171/km²,2234.371,76933,2895047587,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2005,7635776,468,0,171/km²,2234.371,79826,3159826892,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2006,8181712,468,0,171/km²,2234.371,80221,3456264325,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2007,8720320,468,0,171/km²,2234.371,78168,3952395030,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2008,9258928,468,0,171/km²,2234.371,76055,4085780203,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2009,9775552,468,0,171/km²,2234.371,73852,3674190066,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2010,10292176,468,0,171/km²,2234.371,71519,3449925694,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2011,10783152,468,0,171/km²,2234.371,70567,3629133063,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2012,11270464,468,0,171/km²,2234.371,71013,3188653259,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2013,11746784,468,0,171/km²,2234.371,71367,3193513470,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2014,12208448,468,0,171/km²,2234.371,71621,3271686452,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2015,12673776,468,0,171/km²,2234.371,71746,2789882569,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2016,13142768,468,0,171/km²,2234.371,72540,2896611879,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2017,13608096,468,0,171/km²,2234.371,73837,3000160415,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2018,14102736,468,0,171/km²,2234.371,75013,3218418632,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2019,14604584,468,0,171/km²,2234.371,76343,3155150256,38.61732798,8681096447,0,1,1,1
Andorra,Europe,2020,15070878,468,0,171/km²,2234.371,77700,2891002460,38.61732798,8681096447,0,1,1,1
Angola,Africa,1990,115662882,1246700,0.008,29/km²,2234.371,11828638,11236275843,38.61732798,8681096447,0,1,1,1
Angola,Africa,1991,120726936,1246700,0.008,29/km²,2234.371,12228691,10401188707,38.61732798,8681096447,0,1,1,1
Angola,Africa,1992,125891385,1246700,0.008,29/km²,2234.371,12632507,8307826847,38.61732798,8681096447,0,1,1,1
Angola,Africa,1993,131639774,1246700,0.008,29/km²,2234.371,13038270,6084688936,38.61732798,8681096447,0,1,1,1
Angola,Africa,1994,135504295,1246700,0.008,29/km²,2234.371,13462031,4438321017,38.61732798,8681096447,0,1,1,1
Angola,Africa,1995,146453202,1246700,0.008,29/km²,2234.371,13912253,5538749260,38.61732798,8681096447,0,1,1,1
Angola,Africa,1996,156877195,1246700,0.008,29/km²,2234.371,14383350,6535434716,38.61732798,8681096447,0,1,1,1
Angola,Africa,1997,164224859,1246700,0.008,29/km²,2234.371,14871146,7675412601,38.61732798,8681096447,0,1,1,1
Angola,Africa,1998,171493279,1246700,0.008,29/km²,2234.371,15366864,6506381417,38.61732798,8681096447,0,1,1,1
Angola,Africa,1999,180623514,1246700,0.008,29/km²,2234.371,15870753,6152922942,38.61732798,8681096447,0,1,1,1
Angola,Africa,2000,190139578,1246700,0.008,29/km²,85.635,16394062,9129594816,38.61732798,8681096447,0,0,1,1
Angola,Africa,2001,199810516,1246700,0.008,29/km²,93.872,16941587,8936079251,38.61732798,8681096447,0,0,1,1
Angola,Africa,2002,212408640,1246700,0.008,29/km²,97.987,17516139,15285592486,48.2167467,8725779845,0,0,0,0
Angola,Africa,2003,221397610,1246700,0.008,29/km²,106.932,18124342,17812704627,49.57989074,9676099632,0,0,0,0
Angola,Africa,2004,240098223,1246700,0.008,29/km²,116.54,18771125,23552057820,45.19958873,13749775747,0,0,0,0
Angola,Africa,2005,259104214,1246700,0.008,29/km²,140.477,19450959,36970901024,41.06469436,24225651602,0,0,0,0
Angola,Africa,2006,281205864,1246700,0.008,29/km²,160.822,20162340,52381025102,31.15729583,33245117514,0,0,0,0
Angola,Africa,2007,306183135,1246700,0.008,29/km²,150.622,20909684,65266415707,40.15428452,44319670865,0,0,0,0
Angola,Africa,2008,331669402,1246700,0.008,29/km²,187.304,21691522,88538664884,48.88967965,64168422874,0,0,0,0
Angola,Africa,2009,359234375,1246700,0.008,29/km²,204.561,22507674,70307196474,63.68884384,41310610563,0,0,0,0
Angola,Africa,2010,388098878,1246700,0.008,29/km²,227.658,23364185,83799473760,42.58051942,51572807247,0,0,0,0
Angola,Africa,2011,418428620,1246700,0.008,29/km²,228.043,24259111,1.1179E+11,39.31255882,67822781239,0,0,0,0
Angola,Africa,2012,452229244,1246700,0.008,29/km²,240.326,25188292,1.28053E+11,35.85996671,71632968046,0,0,0,0
Angola,Africa,2013,485457827,1246700,0.008,29/km²,306.585,26147002,1.32339E+11,36.06484697,67158241031,0,0,0,0
Angola,Africa,2014,518754138,1246700,0.008,29/km²,342.096,27128337,1.35967E+11,34.63789332,60770402281,0,0,0,0
Angola,Africa,2015,552375384,1246700,0.008,29/km²,333.848,28127721,90496420626,33.13391814,26926846117,0,0,0,0
Angola,Africa,2016,583779183,1246700,0.008,29/km²,353.767,29154746,52761617226,25.24567262,14838933358,0,0,0,0
Angola,Africa,2017,612199542,1246700,0.008,29/km²,358.055,30208628,73690155047,23.25272022,21373167736,0,0,0,0
Angola,Africa,2018,636575343,1246700,0.008,29/km²,379.282,31273533,79450688232,25.5417235,32444713318,0,0,0,0
Angola,Africa,2019,660062165,1246700,0.008,29/km²,392.07,32353588,70897962713,17.03878307,28919814308,0,0,0,0
Angola,Africa,2020,682260326,1246700,0.008,29/km²,2234.371,33428486,48501561230,27.62748819,18583150437,0,1,0,0
Antigua and Barbuda,North America,1990,10581632,442,0,212/km²,2234.371,63328,459470370.4,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1991,10794144,442,0,212/km²,2234.371,63634,481707407.4,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1992,11002992,442,0,212/km²,2234.371,64659,499281481.5,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1993,11219168,442,0,212/km²,2234.371,65834,535174074.1,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1994,11435344,442,0,212/km²,2234.371,67072,589429629.6,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1995,11658848,442,0,212/km²,2234.371,68398,577281481.5,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1996,11897008,442,0,212/km²,2234.371,69798,633729629.6,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1997,12153488,442,0,212/km²,2234.371,71218,680618518.5,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1998,12424624,442,0,212/km²,2234.371,72572,727859259.3,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,1999,12706752,442,0,212/km²,2234.371,73821,766200000,38.61732798,8681096447,0,1,1,1
Antigua and Barbuda,North America,2000,12999872,442,0,212/km²,1855.092,75055,826370370.4,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2001,13296656,442,0,212/km²,2085.168,76215,800481481.5,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2002,13626416,442,0,212/km²,2298.909,77195,814381481.5,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2003,13978160,442,0,212/km²,2496.501,78075,856396296.3,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2004,14344560,442,0,212/km²,2588.771,78941,919729629.6,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2005,14718288,442,0,212/km²,2798.851,79869,1022962963,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2006,15103008,442,0,212/km²,2937.798,80895,1157662963,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2007,15509712,442,0,212/km²,3129.872,82016,1312759259,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2008,15927408,442,0,212/km²,3173.525,83251,1370070370,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2009,16370752,442,0,212/km²,3550.719,84534,1228329630,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2010,16825088,442,0,212/km²,3626.037,85695,1148700000,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2011,17268432,442,0,212/km²,3568.627,86729,1281337037,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2012,17726432,442,0,212/km²,3434.469,87674,1327107407,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2013,18188096,442,0,212/km²,3394.165,88497,1325425926,38.61732798,8681096447,0,0,1,1
Antigua and Barbuda,North America,2014,18649760,442,0,212/km²,3420.41,89236,1378829630,67.02947212,1027285185,0,0,0,0
Antigua and Barbuda,North America,2015,19129744,442,0,212/km²,3477.092,89941,1437755556,59.35588907,1016366667,0,0,0,0
Antigua and Barbuda,North America,2016,19620720,442,0,212/km²,3475.582,90564,1489692593,61.99812539,1043081481,0,0,0,0
Antigua and Barbuda,North America,2017,20111696,442,0,212/km²,3449.222,91119,1531151852,63.4013125,988692592.6,0,0,0,0
Antigua and Barbuda,North America,2018,20610000,442,0,212/km²,3511.279,91626,1661529630,68.18460455,1037966667,0,0,0,0
Antigua and Barbuda,North America,2019,21096373,442,0,212/km²,3518.166,92117,1725351852,68.4165334,1194092593,0,0,0,0
Antigua and Barbuda,North America,2020,21526783,442,0,212/km²,2234.371,92664,1410796296,52.43479516,591277777.8,0,1,0,0
Argentina,South America,1990,3671448186,2780400,0.018,16/km²,1563.673,32637657,1.41353E+11,4.631322407,14643479947,0,0,0,0
Argentina,South America,1991,3788953930,2780400,0.018,16/km²,1628.05,33105763,1.8972E+11,6.078010811,14561091033,0,0,0,0
Argentina,South America,1992,3910184514,2780400,0.018,16/km²,1673.374,33568285,2.28779E+11,8.132793114,15095261860,0,0,0,0
Argentina,South America,1993,4027961999,2780400,0.018,16/km²,1821.271,34027240,2.36742E+11,9.313799914,16357317317,0,0,0,0
Argentina,South America,1994,4150191001,2780400,0.018,16/km²,1907.469,34488696,2.5744E+11,10.60439714,19385100000,0,0,0,0
Argentina,South America,1995,4277955860,2780400,0.018,16/km²,1928.59,34946110,2.58032E+11,10.09101283,24978532000,0,0,0,0
Argentina,South America,1996,4412717930,2780400,0.018,16/km²,1979.205,35389362,2.7215E+11,11.07787165,28381400000,0,0,0,0
Argentina,South America,1997,4550359394,2780400,0.018,16/km²,2032.184,35815971,2.92859E+11,12.77532874,30928400000,0,0,0,0
Argentina,South America,1998,4689811290,2780400,0.018,16/km²,2056.641,36233195,2.98948E+11,12.93444601,31137200000,0,0,0,0
Argentina,South America,1999,4837096421,2780400,0.018,16/km²,2214.173,36653031,2.83523E+11,11.55557045,27862300000,0,0,0,0
Argentina,South America,2000,4979454768,2780400,0.018,16/km²,2311.858,37070774,2.84204E+11,11.63606955,31223690400,0,0,0,0
Argentina,South America,2001,5113458712,2780400,0.018,16/km²,2320.588,37480493,2.68697E+11,10.27324737,31112418400,0,0,0,0
Argentina,South America,2002,5237851060,2780400,0.018,16/km²,2153.71,37885028,97724004252,13.37012736,27736610298,0,0,0,0
Argentina,South America,2003,5372482068,2780400,0.018,16/km²,2314.278,38278164,1.27587E+11,14.7138051,33084505278,0,0,0,0
Argentina,South America,2004,5529525459,2780400,0.018,16/km²,2485.991,38668796,1.64658E+11,16.84502668,39266996606,0,0,0,0
Argentina,South America,2005,5690959659,2780400,0.018,16/km²,2593.403,39070501,1.98737E+11,17.30539424,46198180131,0,0,0,0
Argentina,South America,2006,5865568651,2780400,0.018,16/km²,2835.644,39476851,2.32557E+11,17.40678527,53550250227,0,0,0,0
Argentina,South America,2007,6039814411,2780400,0.018,16/km²,2793.777,39876111,2.87531E+11,18.28242031,65162321195,0,0,0,0
Argentina,South America,2008,6227920411,2780400,0.018,16/km²,2863.183,40273769,3.61558E+11,18.341773,79762958392,0,0,0,0
Argentina,South America,2009,6406869611,2780400,0.018,16/km²,2872.853,40684338,3.32976E+11,14.49614185,65133480388,0,0,0,0
Argentina,South America,2010,6593602747,2780400,0.018,16/km²,2925.134,40788453,4.23627E+11,16.03718986,80208867996,0,0,0,0
Argentina,South America,2011,6783876521,2780400,0.018,16/km²,2970.784,41261490,5.30158E+11,16.75694585,97809980731,0,0,0,0
Argentina,South America,2012,6975591369,2780400,0.018,16/km²,3082.074,41733271,5.45982E+11,14.28868291,88655850854,0,0,0,0
Argentina,South America,2013,7165724742,2780400,0.018,16/km²,3135.627,42202935,5.52025E+11,14.71675561,80690471898,0,0,0,0
Argentina,South America,2014,7354381844,2780400,0.018,16/km²,3086.802,42669500,5.2632E+11,14.00131506,75818867911,0,0,0,0
Argentina,South America,2015,7546787804,2780400,0.018,16/km²,3199.05,43131966,5.94749E+11,11.78057404,63671789069,0,0,0,0
Argentina,South America,2016,7737764998,2780400,0.018,16/km²,3203.098,43590368,5.57532E+11,13.56679268,69842604407,0,0,0,0
Argentina,South America,2017,7925569727,2780400,0.018,16/km²,3145.592,44044811,6.43628E+11,13.96931778,72860557903,0,0,0,0
Argentina,South America,2018,8106669354,2780400,0.018,16/km²,3144.195,44494502,5.2482E+11,16.32585021,75766598613,0,0,0,0
Argentina,South America,2019,8274234941,2780400,0.018,16/km²,2962.944,44938712,4.47755E+11,14.70573667,80259482469,0,0,0,0
Argentina,South America,2020,8431213004,2780400,0.018,16/km²,2990.301,45376763,3.85741E+11,13.59828437,64053810078,0,0,0,0
Armenia,Asia,1990,248525343,29743,0,93/km²,2234.371,3556539,2256863449,46.33273703,789969495.8,0,1,0,0
Armenia,Asia,1991,255813635,29743,0,93/km²,2234.371,3617631,2069870130,60.12046681,843376623.4,0,1,0,0
Armenia,Asia,1992,261676574,29743,0,93/km²,2234.371,3574555,1272835453,61.25600438,506852687.7,0,1,0,0
Armenia,Asia,1993,264251613,29743,0,93/km²,2234.371,3457349,1201312829,60.75417041,567247615,0,1,0,0
Armenia,Asia,1994,266964955,29743,0,93/km²,2234.371,3373713,1315158637,73.10132525,517226106.2,0,1,0,0
Armenia,Asia,1995,270398135,29743,0,93/km²,2234.371,3322782,1468317435,62.18693624,351337833.4,0,1,0,0
Armenia,Asia,1996,272993575,29743,0,93/km²,2234.371,3298898,1596968946,55.98955662,371135639.1,0,1,0,0
